,"Country,Other",TotalCases,NewCases,TotalDeaths
0,USA,"110,462,560","1,191,815","108,144,870"
1,India,"45,020,942",+609,"533,412"
2,France,"40,138,560","167,642","39,970,918"
3,Germany,"38,790,256","+1,560","180,956"
4,Brazil,"38,230,814","708,739",+8
5,S.,Korea,"34,571,873","35,934"
6,Japan,"33,803,572","74,694",N/A
7,Italy,"26,671,165","195,139","26,257,742"
8,UK,"24,812,582","232,112","24,580,470"
9,Russia,"23,798,457","401,543","23,198,668"
10,Turkey,"17,232,066","102,174",N/A
11,Spain,"13,914,811","121,760","13,762,417"
12,Australia,"11,766,772","+1,733","23,881"
13,Vietnam,"11,624,114","43,206","10,640,971"
14,Taiwan,"10,241,523","19,005","10,222,518"
15,Argentina,"10,080,046","130,685","9,949,361"
16,Netherlands,"8,623,210","22,992","8,600,218"
17,Mexico,"7,702,731","334,947","6,899,865"
18,Iran,"7,625,463","146,757",N/A
19,Indonesia,"6,821,940","161,954","6,647,104"
20,Poland,"6,644,654",+836,"120,368"
21,Colombia,"6,387,632","143,113","6,206,196"
22,Greece,"6,101,379","37,869",N/A
23,Austria,"6,081,287","22,542","6,054,934"
24,Portugal,"5,637,114","27,853","5,608,188"
25,Ukraine,"5,557,995","112,418","5,445,577"
26,Chile,"5,335,745","64,497","5,252,450"
27,Malaysia,"5,244,578","37,315","5,182,800"
28,Canada,"4,891,249","57,274","4,789,863"
29,Belgium,"4,851,453","34,376","4,802,510"
30,Israel,"4,841,772","12,707","4,798,473"
31,DPRK,"4,772,813",74,"4,772,739"
32,Thailand,"4,763,039","34,521","4,692,636"
33,Czechia,"4,752,996",+319,"43,434"
34,Peru,"4,524,326","222,161","4,302,165"
35,Switzerland,"4,441,768","14,452","4,423,717"
36,Philippines,"4,140,383","66,864","4,067,381"
37,South,Africa,"4,076,463","102,595"
38,Romania,"3,514,894","68,754","3,441,500"
39,Denmark,"3,183,756","8,814","3,174,942"
40,Singapore,"2,945,715","1,933","2,922,582"
41,Hong,Kong,"2,925,231","14,378"
42,Sweden,"2,745,098","26,433","2,716,784"
43,Serbia,"2,611,359","+1,395","18,057"
44,New,Zealand,"2,554,013","5,337"
45,Iraq,"2,465,545","25,375","2,439,497"
46,Hungary,"2,223,831","48,917","2,152,155"
47,Bangladesh,"2,046,256","29,477",N/A
48,Slovakia,"1,873,332","21,186","1,852,146"
49,Georgia,"1,855,289","17,132",N/A
50,Jordan,"1,746,997","14,122","1,731,007"
51,Ireland,"1,730,193","9,468","1,717,996"
52,Pakistan,"1,581,936","30,664","1,538,689"
53,Finland,"1,512,868","11,140","1,499,340"
54,Norway,"1,508,354",+125,"5,732"
55,Kazakhstan,"1,411,831","13,848","1,383,020"
56,Lithuania,"1,390,383",+272,"9,866"
57,Slovenia,"1,355,613",+31,"7,100"
58,Bulgaria,"1,336,562",+148,"38,704"
59,Croatia,"1,285,460","18,518","1,258,432"
60,Guatemala,"1,281,585","20,272","1,260,536"
61,Morocco,"1,278,269","16,300",N/A
62,Lebanon,"1,243,838","10,952","1,087,587"
63,Costa,Rica,"1,238,883","9,428"
